Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.074415188789368,16.866666666666667,1.8594998083114624,28.283333333333335,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_1.pth
2,1.6998965870539346,28.552083333333332,1.6446718978881836,26.925,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_2.pth
3,1.5937487233479817,33.91875,1.570394894917806,36.75,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_3.pth
4,1.5424720700581869,35.6875,1.5281297950744628,37.108333333333334,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_4.pth
5,1.500582096417745,37.266666666666666,1.5120192575454712,37.375,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_5.pth
6,1.4769697319666544,37.9,1.5026874338785807,37.45,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_6.pth
7,1.4568613179524739,38.225,1.474238024075826,37.31666666666667,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_7.pth
8,1.437160662015279,38.91875,1.4733255144755046,36.275,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_8.pth
9,1.4197646951675416,39.39375,1.4650566555658977,39.55833333333333,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_9.pth
10,1.4105642013549804,40.19375,1.463310923576355,40.90833333333333,128,0.004,results/run_20250522_151928/model_parameters/model_epoch_10.pth
